regime,model,horizon,forecasts,QLIKE
growth_slowdown,HAR_VIX,10,2068,-5.72715594741672
growth_slowdown,Random_Forest,10,2068,-5.47830916376744
growth_slowdown,Ridge,10,2068,-5.69890998088618
growth_slowdown,XGBoost,10,2068,-5.4155507309727
high_vix,Elastic_Net,22,1573,-4.1657763432312
high_vix,HAR,22,1573,-4.15985014568546
high_vix,HAR_Rates,22,1573,-3.98269318160793
high_vix,HAR_VIX,22,1573,-4.2232234343915
high_vix,Random_Forest,22,1573,-3.56704795628106
high_vix,Ridge,22,1573,-4.14998373411629
high_vix,XGBoost,22,1573,-3.60938348050143
rapid_tightening,Elastic_Net,22,150,-4.52828426821909
rapid_tightening,HAR,22,150,-4.47683618082669
rapid_tightening,HAR_Rates,22,150,-4.48957813320845
rapid_tightening,HAR_VIX,22,150,-4.49762536123399
rapid_tightening,Random_Forest,22,150,-4.37934615040631
rapid_tightening,Ridge,22,150,-4.53137579822134
rapid_tightening,XGBoost,22,150,-4.45101706336747
equity_drawdown,Elastic_Net,22,1083,-4.00209226573766
equity_drawdown,HAR,22,1083,-4.01365734109808
equity_drawdown,HAR_Rates,22,1083,-3.80660185862277
equity_drawdown,HAR_VIX,22,1083,-4.05954171462331
equity_drawdown,Random_Forest,22,1083,-3.14856150465985
equity_drawdown,Ridge,22,1083,-4.0084081598024
equity_drawdown,XGBoost,22,1083,-3.25578485567959
inflation_shock,Elastic_Net,22,659,-4.38779963759349
inflation_shock,HAR,22,659,-4.33833438508376
inflation_shock,HAR_Rates,22,659,-4.27516937098349
inflation_shock,HAR_VIX,22,659,-4.36069726282201
inflation_shock,Random_Forest,22,659,-3.62932735000574
inflation_shock,Ridge,22,659,-4.43476381671295
inflation_shock,XGBoost,22,659,-3.4075149617237
growth_slowdown,Elastic_Net,22,2056,-4.59190158392418
growth_slowdown,HAR,22,2056,-4.60531097297798
growth_slowdown,HAR_Rates,22,2056,-4.36879713606241
growth_slowdown,HAR_VIX,22,2056,-4.64069856319212
growth_slowdown,Random_Forest,22,2056,-3.85873025189022
growth_slowdown,Ridge,22,2056,-4.56330014220586
growth_slowdown,XGBoost,22,2056,-3.92098111589927
